tile_int,tile_vector,n_tiles,n_triplets,n_pairs,n_koritsu,n_terminals,n_ways
0,0000000,0,0,0,0,0,1
1,1000000,1,0,0,1,1,4
2,0100000,1,0,0,1,1,4
3,0010000,1,0,0,1,1,4
4,0001000,1,0,0,1,1,4
5,0000100,1,0,0,1,1,4
6,0000010,1,0,0,1,1,4
7,0000001,1,0,0,1,1,4
11,2000000,2,0,1,0,1,6
12,1100000,2,0,0,2,2,16
13,1010000,2,0,0,2,2,16
14,1001000,2,0,0,2,2,16
15,1000100,2,0,0,2,2,16
16,1000010,2,0,0,2,2,16
17,1000001,2,0,0,2,2,16
22,0200000,2,0,1,0,1,6
23,0110000,2,0,0,2,2,16
24,0101000,2,0,0,2,2,16
25,0100100,2,0,0,2,2,16
26,0100010,2,0,0,2,2,16
27,0100001,2,0,0,2,2,16
33,0020000,2,0,1,0,1,6
34,0011000,2,0,0,2,2,16
35,0010100,2,0,0,2,2,16
36,0010010,2,0,0,2,2,16
37,0010001,2,0,0,2,2,16
44,0002000,2,0,1,0,1,6
45,0001100,2,0,0,2,2,16
46,0001010,2,0,0,2,2,16
47,0001001,2,0,0,2,2,16
55,0000200,2,0,1,0,1,6
56,0000110,2,0,0,2,2,16
57,0000101,2,0,0,2,2,16
66,0000020,2,0,1,0,1,6
67,0000011,2,0,0,2,2,16
77,0000002,2,0,1,0,1,6
111,3000000,3,1,0,0,1,4
112,2100000,3,0,1,1,2,24
113,2010000,3,0,1,1,2,24
114,2001000,3,0,1,1,2,24
115,2000100,3,0,1,1,2,24
116,2000010,3,0,1,1,2,24
117,2000001,3,0,1,1,2,24
122,1200000,3,0,1,1,2,24
123,1110000,3,0,0,3,3,64
124,1101000,3,0,0,3,3,64
125,1100100,3,0,0,3,3,64
126,1100010,3,0,0,3,3,64
127,1100001,3,0,0,3,3,64
133,1020000,3,0,1,1,2,24
134,1011000,3,0,0,3,3,64
135,1010100,3,0,0,3,3,64
136,1010010,3,0,0,3,3,64
137,1010001,3,0,0,3,3,64
144,1002000,3,0,1,1,2,24
145,1001100,3,0,0,3,3,64
146,1001010,3,0,0,3,3,64
147,1001001,3,0,0,3,3,64
155,1000200,3,0,1,1,2,24
156,1000110,3,0,0,3,3,64
157,1000101,3,0,0,3,3,64
166,1000020,3,0,1,1,2,24
167,1000011,3,0,0,3,3,64
177,1000002,3,0,1,1,2,24
222,0300000,3,1,0,0,1,4
223,0210000,3,0,1,1,2,24
224,0201000,3,0,1,1,2,24
225,0200100,3,0,1,1,2,24
226,0200010,3,0,1,1,2,24
227,0200001,3,0,1,1,2,24
233,0120000,3,0,1,1,2,24
234,0111000,3,0,0,3,3,64
235,0110100,3,0,0,3,3,64
236,0110010,3,0,0,3,3,64
237,0110001,3,0,0,3,3,64
244,0102000,3,0,1,1,2,24
245,0101100,3,0,0,3,3,64
246,0101010,3,0,0,3,3,64
247,0101001,3,0,0,3,3,64
255,0100200,3,0,1,1,2,24
256,0100110,3,0,0,3,3,64
257,0100101,3,0,0,3,3,64
266,0100020,3,0,1,1,2,24
267,0100011,3,0,0,3,3,64
277,0100002,3,0,1,1,2,24
333,0030000,3,1,0,0,1,4
334,0021000,3,0,1,1,2,24
335,0020100,3,0,1,1,2,24
336,0020010,3,0,1,1,2,24
337,0020001,3,0,1,1,2,24
344,0012000,3,0,1,1,2,24
345,0011100,3,0,0,3,3,64
346,0011010,3,0,0,3,3,64
347,0011001,3,0,0,3,3,64
355,0010200,3,0,1,1,2,24
356,0010110,3,0,0,3,3,64
357,0010101,3,0,0,3,3,64
366,0010020,3,0,1,1,2,24
367,0010011,3,0,0,3,3,64
377,0010002,3,0,1,1,2,24
444,0003000,3,1,0,0,1,4
445,0002100,3,0,1,1,2,24
446,0002010,3,0,1,1,2,24
447,0002001,3,0,1,1,2,24
455,0001200,3,0,1,1,2,24
456,0001110,3,0,0,3,3,64
457,0001101,3,0,0,3,3,64
466,0001020,3,0,1,1,2,24
467,0001011,3,0,0,3,3,64
477,0001002,3,0,1,1,2,24
555,0000300,3,1,0,0,1,4
556,0000210,3,0,1,1,2,24
557,0000201,3,0,1,1,2,24
566,0000120,3,0,1,1,2,24
567,0000111,3,0,0,3,3,64
577,0000102,3,0,1,1,2,24
666,0000030,3,1,0,0,1,4
667,0000021,3,0,1,1,2,24
677,0000012,3,0,1,1,2,24
777,0000003,3,1,0,0,1,4
1111,4000000,4,1,0,1,1,1
1112,3100000,4,1,0,1,2,16
1113,3010000,4,1,0,1,2,16
1114,3001000,4,1,0,1,2,16
1115,3000100,4,1,0,1,2,16
1116,3000010,4,1,0,1,2,16
1117,3000001,4,1,0,1,2,16
1122,2200000,4,0,2,0,2,36
1123,2110000,4,0,1,2,3,96
1124,2101000,4,0,1,2,3,96
1125,2100100,4,0,1,2,3,96
1126,2100010,4,0,1,2,3,96
1127,2100001,4,0,1,2,3,96
1133,2020000,4,0,2,0,2,36
1134,2011000,4,0,1,2,3,96
1135,2010100,4,0,1,2,3,96
1136,2010010,4,0,1,2,3,96
1137,2010001,4,0,1,2,3,96
1144,2002000,4,0,2,0,2,36
1145,2001100,4,0,1,2,3,96
1146,2001010,4,0,1,2,3,96
1147,2001001,4,0,1,2,3,96
1155,2000200,4,0,2,0,2,36
1156,2000110,4,0,1,2,3,96
1157,2000101,4,0,1,2,3,96
1166,2000020,4,0,2,0,2,36
1167,2000011,4,0,1,2,3,96
1177,2000002,4,0,2,0,2,36
1222,1300000,4,1,0,1,2,16
1223,1210000,4,0,1,2,3,96
1224,1201000,4,0,1,2,3,96
1225,1200100,4,0,1,2,3,96
1226,1200010,4,0,1,2,3,96
1227,1200001,4,0,1,2,3,96
1233,1120000,4,0,1,2,3,96
1234,1111000,4,0,0,4,4,256
1235,1110100,4,0,0,4,4,256
1236,1110010,4,0,0,4,4,256
1237,1110001,4,0,0,4,4,256
1244,1102000,4,0,1,2,3,96
1245,1101100,4,0,0,4,4,256
1246,1101010,4,0,0,4,4,256
1247,1101001,4,0,0,4,4,256
1255,1100200,4,0,1,2,3,96
1256,1100110,4,0,0,4,4,256
1257,1100101,4,0,0,4,4,256
1266,1100020,4,0,1,2,3,96
1267,1100011,4,0,0,4,4,256
1277,1100002,4,0,1,2,3,96
1333,1030000,4,1,0,1,2,16
1334,1021000,4,0,1,2,3,96
1335,1020100,4,0,1,2,3,96
1336,1020010,4,0,1,2,3,96
1337,1020001,4,0,1,2,3,96
1344,1012000,4,0,1,2,3,96
1345,1011100,4,0,0,4,4,256
1346,1011010,4,0,0,4,4,256
1347,1011001,4,0,0,4,4,256
1355,1010200,4,0,1,2,3,96
1356,1010110,4,0,0,4,4,256
1357,1010101,4,0,0,4,4,256
1366,1010020,4,0,1,2,3,96
1367,1010011,4,0,0,4,4,256
1377,1010002,4,0,1,2,3,96
1444,1003000,4,1,0,1,2,16
1445,1002100,4,0,1,2,3,96
1446,1002010,4,0,1,2,3,96
1447,1002001,4,0,1,2,3,96
1455,1001200,4,0,1,2,3,96
1456,1001110,4,0,0,4,4,256
1457,1001101,4,0,0,4,4,256
1466,1001020,4,0,1,2,3,96
1467,1001011,4,0,0,4,4,256
1477,1001002,4,0,1,2,3,96
1555,1000300,4,1,0,1,2,16
1556,1000210,4,0,1,2,3,96
1557,1000201,4,0,1,2,3,96
1566,1000120,4,0,1,2,3,96
1567,1000111,4,0,0,4,4,256
1577,1000102,4,0,1,2,3,96
1666,1000030,4,1,0,1,2,16
1667,1000021,4,0,1,2,3,96
1677,1000012,4,0,1,2,3,96
1777,1000003,4,1,0,1,2,16
2222,0400000,4,1,0,1,1,1
2223,0310000,4,1,0,1,2,16
2224,0301000,4,1,0,1,2,16
2225,0300100,4,1,0,1,2,16
2226,0300010,4,1,0,1,2,16
2227,0300001,4,1,0,1,2,16
2233,0220000,4,0,2,0,2,36
2234,0211000,4,0,1,2,3,96
2235,0210100,4,0,1,2,3,96
2236,0210010,4,0,1,2,3,96
2237,0210001,4,0,1,2,3,96
2244,0202000,4,0,2,0,2,36
2245,0201100,4,0,1,2,3,96
2246,0201010,4,0,1,2,3,96
2247,0201001,4,0,1,2,3,96
2255,0200200,4,0,2,0,2,36
2256,0200110,4,0,1,2,3,96
2257,0200101,4,0,1,2,3,96
2266,0200020,4,0,2,0,2,36
2267,0200011,4,0,1,2,3,96
2277,0200002,4,0,2,0,2,36
2333,0130000,4,1,0,1,2,16
2334,0121000,4,0,1,2,3,96
2335,0120100,4,0,1,2,3,96
2336,0120010,4,0,1,2,3,96
2337,0120001,4,0,1,2,3,96
2344,0112000,4,0,1,2,3,96
2345,0111100,4,0,0,4,4,256
2346,0111010,4,0,0,4,4,256
2347,0111001,4,0,0,4,4,256
2355,0110200,4,0,1,2,3,96
2356,0110110,4,0,0,4,4,256
2357,0110101,4,0,0,4,4,256
2366,0110020,4,0,1,2,3,96
2367,0110011,4,0,0,4,4,256
2377,0110002,4,0,1,2,3,96
2444,0103000,4,1,0,1,2,16
2445,0102100,4,0,1,2,3,96
2446,0102010,4,0,1,2,3,96
2447,0102001,4,0,1,2,3,96
2455,0101200,4,0,1,2,3,96
2456,0101110,4,0,0,4,4,256
2457,0101101,4,0,0,4,4,256
2466,0101020,4,0,1,2,3,96
2467,0101011,4,0,0,4,4,256
2477,0101002,4,0,1,2,3,96
2555,0100300,4,1,0,1,2,16
2556,0100210,4,0,1,2,3,96
2557,0100201,4,0,1,2,3,96
2566,0100120,4,0,1,2,3,96
2567,0100111,4,0,0,4,4,256
2577,0100102,4,0,1,2,3,96
2666,0100030,4,1,0,1,2,16
2667,0100021,4,0,1,2,3,96
2677,0100012,4,0,1,2,3,96
2777,0100003,4,1,0,1,2,16
3333,0040000,4,1,0,1,1,1
3334,0031000,4,1,0,1,2,16
3335,0030100,4,1,0,1,2,16
3336,0030010,4,1,0,1,2,16
3337,0030001,4,1,0,1,2,16
3344,0022000,4,0,2,0,2,36
3345,0021100,4,0,1,2,3,96
3346,0021010,4,0,1,2,3,96
3347,0021001,4,0,1,2,3,96
3355,0020200,4,0,2,0,2,36
3356,0020110,4,0,1,2,3,96
3357,0020101,4,0,1,2,3,96
3366,0020020,4,0,2,0,2,36
3367,0020011,4,0,1,2,3,96
3377,0020002,4,0,2,0,2,36
3444,0013000,4,1,0,1,2,16
3445,0012100,4,0,1,2,3,96
3446,0012010,4,0,1,2,3,96
3447,0012001,4,0,1,2,3,96
3455,0011200,4,0,1,2,3,96
3456,0011110,4,0,0,4,4,256
3457,0011101,4,0,0,4,4,256
3466,0011020,4,0,1,2,3,96
3467,0011011,4,0,0,4,4,256
3477,0011002,4,0,1,2,3,96
3555,0010300,4,1,0,1,2,16
3556,0010210,4,0,1,2,3,96
3557,0010201,4,0,1,2,3,96
3566,0010120,4,0,1,2,3,96
3567,0010111,4,0,0,4,4,256
3577,0010102,4,0,1,2,3,96
3666,0010030,4,1,0,1,2,16
3667,0010021,4,0,1,2,3,96
3677,0010012,4,0,1,2,3,96
3777,0010003,4,1,0,1,2,16
4444,0004000,4,1,0,1,1,1
4445,0003100,4,1,0,1,2,16
4446,0003010,4,1,0,1,2,16
4447,0003001,4,1,0,1,2,16
4455,0002200,4,0,2,0,2,36
4456,0002110,4,0,1,2,3,96
4457,0002101,4,0,1,2,3,96
4466,0002020,4,0,2,0,2,36
4467,0002011,4,0,1,2,3,96
4477,0002002,4,0,2,0,2,36
4555,0001300,4,1,0,1,2,16
4556,0001210,4,0,1,2,3,96
4557,0001201,4,0,1,2,3,96
4566,0001120,4,0,1,2,3,96
4567,0001111,4,0,0,4,4,256
4577,0001102,4,0,1,2,3,96
4666,0001030,4,1,0,1,2,16
4667,0001021,4,0,1,2,3,96
4677,0001012,4,0,1,2,3,96
4777,0001003,4,1,0,1,2,16
5555,0000400,4,1,0,1,1,1
5556,0000310,4,1,0,1,2,16
5557,0000301,4,1,0,1,2,16
5566,0000220,4,0,2,0,2,36
5567,0000211,4,0,1,2,3,96
5577,0000202,4,0,2,0,2,36
5666,0000130,4,1,0,1,2,16
5667,0000121,4,0,1,2,3,96
5677,0000112,4,0,1,2,3,96
5777,0000103,4,1,0,1,2,16
6666,0000040,4,1,0,1,1,1
6667,0000031,4,1,0,1,2,16
6677,0000022,4,0,2,0,2,36
6777,0000013,4,1,0,1,2,16
7777,0000004,4,1,0,1,1,1
11112,4100000,5,1,0,2,2,4
11113,4010000,5,1,0,2,2,4
11114,4001000,5,1,0,2,2,4
11115,4000100,5,1,0,2,2,4
11116,4000010,5,1,0,2,2,4
11117,4000001,5,1,0,2,2,4
11122,3200000,5,1,1,0,2,24
11123,3110000,5,1,0,2,3,64
11124,3101000,5,1,0,2,3,64
11125,3100100,5,1,0,2,3,64
11126,3100010,5,1,0,2,3,64
11127,3100001,5,1,0,2,3,64
11133,3020000,5,1,1,0,2,24
11134,3011000,5,1,0,2,3,64
11135,3010100,5,1,0,2,3,64
11136,3010010,5,1,0,2,3,64
11137,3010001,5,1,0,2,3,64
11144,3002000,5,1,1,0,2,24
11145,3001100,5,1,0,2,3,64
11146,3001010,5,1,0,2,3,64
11147,3001001,5,1,0,2,3,64
11155,3000200,5,1,1,0,2,24
11156,3000110,5,1,0,2,3,64
11157,3000101,5,1,0,2,3,64
11166,3000020,5,1,1,0,2,24
11167,3000011,5,1,0,2,3,64
11177,3000002,5,1,1,0,2,24
11222,2300000,5,1,1,0,2,24
11223,2210000,5,0,2,1,3,144
11224,2201000,5,0,2,1,3,144
11225,2200100,5,0,2,1,3,144
11226,2200010,5,0,2,1,3,144
11227,2200001,5,0,2,1,3,144
11233,2120000,5,0,2,1,3,144
11234,2111000,5,0,1,3,4,384
11235,2110100,5,0,1,3,4,384
11236,2110010,5,0,1,3,4,384
11237,2110001,5,0,1,3,4,384
11244,2102000,5,0,2,1,3,144
11245,2101100,5,0,1,3,4,384
11246,2101010,5,0,1,3,4,384
11247,2101001,5,0,1,3,4,384
11255,2100200,5,0,2,1,3,144
11256,2100110,5,0,1,3,4,384
11257,2100101,5,0,1,3,4,384
11266,2100020,5,0,2,1,3,144
11267,2100011,5,0,1,3,4,384
11277,2100002,5,0,2,1,3,144
11333,2030000,5,1,1,0,2,24
11334,2021000,5,0,2,1,3,144
11335,2020100,5,0,2,1,3,144
11336,2020010,5,0,2,1,3,144
11337,2020001,5,0,2,1,3,144
11344,2012000,5,0,2,1,3,144
11345,2011100,5,0,1,3,4,384
11346,2011010,5,0,1,3,4,384
11347,2011001,5,0,1,3,4,384
11355,2010200,5,0,2,1,3,144
11356,2010110,5,0,1,3,4,384
11357,2010101,5,0,1,3,4,384
11366,2010020,5,0,2,1,3,144
11367,2010011,5,0,1,3,4,384
11377,2010002,5,0,2,1,3,144
11444,2003000,5,1,1,0,2,24
11445,2002100,5,0,2,1,3,144
11446,2002010,5,0,2,1,3,144
11447,2002001,5,0,2,1,3,144
11455,2001200,5,0,2,1,3,144
11456,2001110,5,0,1,3,4,384
11457,2001101,5,0,1,3,4,384
11466,2001020,5,0,2,1,3,144
11467,2001011,5,0,1,3,4,384
11477,2001002,5,0,2,1,3,144
11555,2000300,5,1,1,0,2,24
11556,2000210,5,0,2,1,3,144
11557,2000201,5,0,2,1,3,144
11566,2000120,5,0,2,1,3,144
11567,2000111,5,0,1,3,4,384
11577,2000102,5,0,2,1,3,144
11666,2000030,5,1,1,0,2,24
11667,2000021,5,0,2,1,3,144
11677,2000012,5,0,2,1,3,144
11777,2000003,5,1,1,0,2,24
12222,1400000,5,1,0,2,2,4
12223,1310000,5,1,0,2,3,64
12224,1301000,5,1,0,2,3,64
12225,1300100,5,1,0,2,3,64
12226,1300010,5,1,0,2,3,64
12227,1300001,5,1,0,2,3,64
12233,1220000,5,0,2,1,3,144
12234,1211000,5,0,1,3,4,384
12235,1210100,5,0,1,3,4,384
12236,1210010,5,0,1,3,4,384
12237,1210001,5,0,1,3,4,384
12244,1202000,5,0,2,1,3,144
12245,1201100,5,0,1,3,4,384
12246,1201010,5,0,1,3,4,384
12247,1201001,5,0,1,3,4,384
12255,1200200,5,0,2,1,3,144
12256,1200110,5,0,1,3,4,384
12257,1200101,5,0,1,3,4,384
12266,1200020,5,0,2,1,3,144
12267,1200011,5,0,1,3,4,384
12277,1200002,5,0,2,1,3,144
12333,1130000,5,1,0,2,3,64
12334,1121000,5,0,1,3,4,384
12335,1120100,5,0,1,3,4,384
12336,1120010,5,0,1,3,4,384
12337,1120001,5,0,1,3,4,384
12344,1112000,5,0,1,3,4,384
12345,1111100,5,0,0,5,5,1024
12346,1111010,5,0,0,5,5,1024
12347,1111001,5,0,0,5,5,1024
12355,1110200,5,0,1,3,4,384
12356,1110110,5,0,0,5,5,1024
12357,1110101,5,0,0,5,5,1024
12366,1110020,5,0,1,3,4,384
12367,1110011,5,0,0,5,5,1024
12377,1110002,5,0,1,3,4,384
12444,1103000,5,1,0,2,3,64
12445,1102100,5,0,1,3,4,384
12446,1102010,5,0,1,3,4,384
12447,1102001,5,0,1,3,4,384
12455,1101200,5,0,1,3,4,384
12456,1101110,5,0,0,5,5,1024
12457,1101101,5,0,0,5,5,1024
12466,1101020,5,0,1,3,4,384
12467,1101011,5,0,0,5,5,1024
12477,1101002,5,0,1,3,4,384
12555,1100300,5,1,0,2,3,64
12556,1100210,5,0,1,3,4,384
12557,1100201,5,0,1,3,4,384
12566,1100120,5,0,1,3,4,384
12567,1100111,5,0,0,5,5,1024
12577,1100102,5,0,1,3,4,384
12666,1100030,5,1,0,2,3,64
12667,1100021,5,0,1,3,4,384
12677,1100012,5,0,1,3,4,384
12777,1100003,5,1,0,2,3,64
13333,1040000,5,1,0,2,2,4
13334,1031000,5,1,0,2,3,64
13335,1030100,5,1,0,2,3,64
13336,1030010,5,1,0,2,3,64
13337,1030001,5,1,0,2,3,64
13344,1022000,5,0,2,1,3,144
13345,1021100,5,0,1,3,4,384
13346,1021010,5,0,1,3,4,384
13347,1021001,5,0,1,3,4,384
13355,1020200,5,0,2,1,3,144
13356,1020110,5,0,1,3,4,384
13357,1020101,5,0,1,3,4,384
13366,1020020,5,0,2,1,3,144
13367,1020011,5,0,1,3,4,384
13377,1020002,5,0,2,1,3,144
13444,1013000,5,1,0,2,3,64
13445,1012100,5,0,1,3,4,384
13446,1012010,5,0,1,3,4,384
13447,1012001,5,0,1,3,4,384
13455,1011200,5,0,1,3,4,384
13456,1011110,5,0,0,5,5,1024
13457,1011101,5,0,0,5,5,1024
13466,1011020,5,0,1,3,4,384
13467,1011011,5,0,0,5,5,1024
13477,1011002,5,0,1,3,4,384
13555,1010300,5,1,0,2,3,64
13556,1010210,5,0,1,3,4,384
13557,1010201,5,0,1,3,4,384
13566,1010120,5,0,1,3,4,384
13567,1010111,5,0,0,5,5,1024
13577,1010102,5,0,1,3,4,384
13666,1010030,5,1,0,2,3,64
13667,1010021,5,0,1,3,4,384
13677,1010012,5,0,1,3,4,384
13777,1010003,5,1,0,2,3,64
14444,1004000,5,1,0,2,2,4
14445,1003100,5,1,0,2,3,64
14446,1003010,5,1,0,2,3,64
14447,1003001,5,1,0,2,3,64
14455,1002200,5,0,2,1,3,144
14456,1002110,5,0,1,3,4,384
14457,1002101,5,0,1,3,4,384
14466,1002020,5,0,2,1,3,144
14467,1002011,5,0,1,3,4,384
14477,1002002,5,0,2,1,3,144
14555,1001300,5,1,0,2,3,64
14556,1001210,5,0,1,3,4,384
14557,1001201,5,0,1,3,4,384
14566,1001120,5,0,1,3,4,384
14567,1001111,5,0,0,5,5,1024
14577,1001102,5,0,1,3,4,384
14666,1001030,5,1,0,2,3,64
14667,1001021,5,0,1,3,4,384
14677,1001012,5,0,1,3,4,384
14777,1001003,5,1,0,2,3,64
15555,1000400,5,1,0,2,2,4
15556,1000310,5,1,0,2,3,64
15557,1000301,5,1,0,2,3,64
15566,1000220,5,0,2,1,3,144
15567,1000211,5,0,1,3,4,384
15577,1000202,5,0,2,1,3,144
15666,1000130,5,1,0,2,3,64
15667,1000121,5,0,1,3,4,384
15677,1000112,5,0,1,3,4,384
15777,1000103,5,1,0,2,3,64
16666,1000040,5,1,0,2,2,4
16667,1000031,5,1,0,2,3,64
16677,1000022,5,0,2,1,3,144
16777,1000013,5,1,0,2,3,64
17777,1000004,5,1,0,2,2,4
22223,0410000,5,1,0,2,2,4
22224,0401000,5,1,0,2,2,4
22225,0400100,5,1,0,2,2,4
22226,0400010,5,1,0,2,2,4
22227,0400001,5,1,0,2,2,4
22233,0320000,5,1,1,0,2,24
22234,0311000,5,1,0,2,3,64
22235,0310100,5,1,0,2,3,64
22236,0310010,5,1,0,2,3,64
22237,0310001,5,1,0,2,3,64
22244,0302000,5,1,1,0,2,24
22245,0301100,5,1,0,2,3,64
22246,0301010,5,1,0,2,3,64
22247,0301001,5,1,0,2,3,64
22255,0300200,5,1,1,0,2,24
22256,0300110,5,1,0,2,3,64
22257,0300101,5,1,0,2,3,64
22266,0300020,5,1,1,0,2,24
22267,0300011,5,1,0,2,3,64
22277,0300002,5,1,1,0,2,24
22333,0230000,5,1,1,0,2,24
22334,0221000,5,0,2,1,3,144
22335,0220100,5,0,2,1,3,144
22336,0220010,5,0,2,1,3,144
22337,0220001,5,0,2,1,3,144
22344,0212000,5,0,2,1,3,144
22345,0211100,5,0,1,3,4,384
22346,0211010,5,0,1,3,4,384
22347,0211001,5,0,1,3,4,384
22355,0210200,5,0,2,1,3,144
22356,0210110,5,0,1,3,4,384
22357,0210101,5,0,1,3,4,384
22366,0210020,5,0,2,1,3,144
22367,0210011,5,0,1,3,4,384
22377,0210002,5,0,2,1,3,144
22444,0203000,5,1,1,0,2,24
22445,0202100,5,0,2,1,3,144
22446,0202010,5,0,2,1,3,144
22447,0202001,5,0,2,1,3,144
22455,0201200,5,0,2,1,3,144
22456,0201110,5,0,1,3,4,384
22457,0201101,5,0,1,3,4,384
22466,0201020,5,0,2,1,3,144
22467,0201011,5,0,1,3,4,384
22477,0201002,5,0,2,1,3,144
22555,0200300,5,1,1,0,2,24
22556,0200210,5,0,2,1,3,144
22557,0200201,5,0,2,1,3,144
22566,0200120,5,0,2,1,3,144
22567,0200111,5,0,1,3,4,384
22577,0200102,5,0,2,1,3,144
22666,0200030,5,1,1,0,2,24
22667,0200021,5,0,2,1,3,144
22677,0200012,5,0,2,1,3,144
22777,0200003,5,1,1,0,2,24
23333,0140000,5,1,0,2,2,4
23334,0131000,5,1,0,2,3,64
23335,0130100,5,1,0,2,3,64
23336,0130010,5,1,0,2,3,64
23337,0130001,5,1,0,2,3,64
23344,0122000,5,0,2,1,3,144
23345,0121100,5,0,1,3,4,384
23346,0121010,5,0,1,3,4,384
23347,0121001,5,0,1,3,4,384
23355,0120200,5,0,2,1,3,144
23356,0120110,5,0,1,3,4,384
23357,0120101,5,0,1,3,4,384
23366,0120020,5,0,2,1,3,144
23367,0120011,5,0,1,3,4,384
23377,0120002,5,0,2,1,3,144
23444,0113000,5,1,0,2,3,64
23445,0112100,5,0,1,3,4,384
23446,0112010,5,0,1,3,4,384
23447,0112001,5,0,1,3,4,384
23455,0111200,5,0,1,3,4,384
23456,0111110,5,0,0,5,5,1024
23457,0111101,5,0,0,5,5,1024
23466,0111020,5,0,1,3,4,384
23467,0111011,5,0,0,5,5,1024
23477,0111002,5,0,1,3,4,384
23555,0110300,5,1,0,2,3,64
23556,0110210,5,0,1,3,4,384
23557,0110201,5,0,1,3,4,384
23566,0110120,5,0,1,3,4,384
23567,0110111,5,0,0,5,5,1024
23577,0110102,5,0,1,3,4,384
23666,0110030,5,1,0,2,3,64
23667,0110021,5,0,1,3,4,384
23677,0110012,5,0,1,3,4,384
23777,0110003,5,1,0,2,3,64
24444,0104000,5,1,0,2,2,4
24445,0103100,5,1,0,2,3,64
24446,0103010,5,1,0,2,3,64
24447,0103001,5,1,0,2,3,64
24455,0102200,5,0,2,1,3,144
24456,0102110,5,0,1,3,4,384
24457,0102101,5,0,1,3,4,384
24466,0102020,5,0,2,1,3,144
24467,0102011,5,0,1,3,4,384
24477,0102002,5,0,2,1,3,144
24555,0101300,5,1,0,2,3,64
24556,0101210,5,0,1,3,4,384
24557,0101201,5,0,1,3,4,384
24566,0101120,5,0,1,3,4,384
24567,0101111,5,0,0,5,5,1024
24577,0101102,5,0,1,3,4,384
24666,0101030,5,1,0,2,3,64
24667,0101021,5,0,1,3,4,384
24677,0101012,5,0,1,3,4,384
24777,0101003,5,1,0,2,3,64
25555,0100400,5,1,0,2,2,4
25556,0100310,5,1,0,2,3,64
25557,0100301,5,1,0,2,3,64
25566,0100220,5,0,2,1,3,144
25567,0100211,5,0,1,3,4,384
25577,0100202,5,0,2,1,3,144
25666,0100130,5,1,0,2,3,64
25667,0100121,5,0,1,3,4,384
25677,0100112,5,0,1,3,4,384
25777,0100103,5,1,0,2,3,64
26666,0100040,5,1,0,2,2,4
26667,0100031,5,1,0,2,3,64
26677,0100022,5,0,2,1,3,144
26777,0100013,5,1,0,2,3,64
27777,0100004,5,1,0,2,2,4
33334,0041000,5,1,0,2,2,4
33335,0040100,5,1,0,2,2,4
33336,0040010,5,1,0,2,2,4
33337,0040001,5,1,0,2,2,4
33344,0032000,5,1,1,0,2,24
33345,0031100,5,1,0,2,3,64
33346,0031010,5,1,0,2,3,64
33347,0031001,5,1,0,2,3,64
33355,0030200,5,1,1,0,2,24
33356,0030110,5,1,0,2,3,64
33357,0030101,5,1,0,2,3,64
33366,0030020,5,1,1,0,2,24
33367,0030011,5,1,0,2,3,64
33377,0030002,5,1,1,0,2,24
33444,0023000,5,1,1,0,2,24
33445,0022100,5,0,2,1,3,144
33446,0022010,5,0,2,1,3,144
33447,0022001,5,0,2,1,3,144
33455,0021200,5,0,2,1,3,144
33456,0021110,5,0,1,3,4,384
33457,0021101,5,0,1,3,4,384
33466,0021020,5,0,2,1,3,144
33467,0021011,5,0,1,3,4,384
33477,0021002,5,0,2,1,3,144
33555,0020300,5,1,1,0,2,24
33556,0020210,5,0,2,1,3,144
33557,0020201,5,0,2,1,3,144
33566,0020120,5,0,2,1,3,144
33567,0020111,5,0,1,3,4,384
33577,0020102,5,0,2,1,3,144
33666,0020030,5,1,1,0,2,24
33667,0020021,5,0,2,1,3,144
33677,0020012,5,0,2,1,3,144
33777,0020003,5,1,1,0,2,24
34444,0014000,5,1,0,2,2,4
34445,0013100,5,1,0,2,3,64
34446,0013010,5,1,0,2,3,64
34447,0013001,5,1,0,2,3,64
34455,0012200,5,0,2,1,3,144
34456,0012110,5,0,1,3,4,384
34457,0012101,5,0,1,3,4,384
34466,0012020,5,0,2,1,3,144
34467,0012011,5,0,1,3,4,384
34477,0012002,5,0,2,1,3,144
34555,0011300,5,1,0,2,3,64
34556,0011210,5,0,1,3,4,384
34557,0011201,5,0,1,3,4,384
34566,0011120,5,0,1,3,4,384
34567,0011111,5,0,0,5,5,1024
34577,0011102,5,0,1,3,4,384
34666,0011030,5,1,0,2,3,64
34667,0011021,5,0,1,3,4,384
34677,0011012,5,0,1,3,4,384
34777,0011003,5,1,0,2,3,64
35555,0010400,5,1,0,2,2,4
35556,0010310,5,1,0,2,3,64
35557,0010301,5,1,0,2,3,64
35566,0010220,5,0,2,1,3,144
35567,0010211,5,0,1,3,4,384
35577,0010202,5,0,2,1,3,144
35666,0010130,5,1,0,2,3,64
35667,0010121,5,0,1,3,4,384
35677,0010112,5,0,1,3,4,384
35777,0010103,5,1,0,2,3,64
36666,0010040,5,1,0,2,2,4
36667,0010031,5,1,0,2,3,64
36677,0010022,5,0,2,1,3,144
36777,0010013,5,1,0,2,3,64
37777,0010004,5,1,0,2,2,4
44445,0004100,5,1,0,2,2,4
44446,0004010,5,1,0,2,2,4
44447,0004001,5,1,0,2,2,4
44455,0003200,5,1,1,0,2,24
44456,0003110,5,1,0,2,3,64
44457,0003101,5,1,0,2,3,64
